,dept,title,url,button,pdf_count,pdf_urls,ext_link_count,ext_links
11,fin,"Pay or Search for Parking, Red Light & Automated Speed Enforcement Tickets",https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/pay_parking_and_red-lightticketson-line.html,True,0,,1,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp
12,fin,Payment Processing,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/PaymentProcessing/EZ_Pay_Station_Locations.pdf,3,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp | https://webapps1.cityofchicago.org/WaterPaymentsWeb/org/cityofchicago/wpmt/controller/login/begin.do | https://webapps1.cityofchicago.org/TaxWeb/
13,fin,Services,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision/svcs.html,False,0,,0,
14,fin,Payment Center Locations & Services,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/Payment%20Options/payment_center.html,False,0,,1,https://www.google.com/maps/d/embed?mid=zCsC9y5NaDK4.kz3qd2bTl-p8
15,fin,Administrative Hearing Fine Payments,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision/svcs/QuickPay.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/PaymentProcessing/EZ_Pay_Station_Locations.pdf,1,https://webapps1.cityofchicago.org/ezpay/ah
16,fin,Tax Collection and Enforcement,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division.html,False,0,,3,https://webapps1.cityofchicago.org/TaxWeb/ | https://webapps1.cityofchicago.org/VoluntaryDiscAppWeb/pageflows/taxVoluntary/TaxVoluntaryController.jpf | http://www.revenue.state.il.us/
17,fin,Services,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs.html,False,0,,0,
18,fin,Business Taxes,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/pay_and_file_yourtaxesonline.html,True,0,,3,http://www.amlegal.com/library/il/chicago.shtml | https://webapps1.cityofchicago.org/TaxWeb/ | https://www.ezdecillinois.com
19,fin,View Automated Speed Enforcement Video,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_automated_speedenforcementvideo.html,True,0,,1,https://www.violationinfo.com/Chicago/
20,fin,View Parking Ticket Photos,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_parking_ticketpictures.html,True,0,,1,http://chicago.duncan-usa.com/ImageOnlySites/ChicagoImages
21,fin,View Red Light Video,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_red-light_video.html,True,0,,2,HTTP://www.ChicagoPhotoCiteWeb.com/ | http://webapps1.cityofchicago.org/traffic/
22,fin,Apply for Voluntary Disclosure of Business Taxes,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/apply_for_voluntarydisclosureofchicagobusinesstaxes.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/SAMPLESTANDARDVOLUNTARYDISCLOSUREAGREEMENT.pdf,1,https://webapps1.cityofchicago.org/VoluntaryDiscAppWeb/pageflows/taxVoluntary/TaxVoluntaryController.jpf
23,fin,Frequently Asked Questions on Surge Pricing Fees,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/news/2017/april/Surge_Pricing_Events.html,False,5,https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/2017_Surge_Pricing_Events.pdf | https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/2017_Surge_Pricing_Events.pdf | https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/2017_Surge_Pricing_Events.pdf | https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/2017_Surge_Pricing_Events.pdf | https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/2017_Surge_Pricing_Events.pdf,0,
24,fin,Update on Second Notice Review Program,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/news/2017/february/update-on-second-notice-review-program.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/fin/pol/news/022017CameraViolationReviewDebtReliefProgram.pdf,4,http://library.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://library.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://library.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://library.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il
25,fin,Missing/Damaged Parking Meters,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/report_missing_ordamagedparkingmeters.html,True,0,,1,https://servicerequest.cityofchicago.org/web_intake_chic/Controller?op=locform&invSRType=PARKFEBK&invSRDesc=Parking%20Meter%20Business%20Feedback%20Form&locreq=N&stnumreqd=N
26,fin,Parking Meter Business Feedback Form,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/parking_meter_businessfeedbackform.html,True,0,,1,https://servicerequest.cityofchicago.org/web_intake_chic/Controller?op=locform&invSRType=PARKFEBK&invSRDesc=Parking%20Meter%20Business%20Feedback%20Form&locreq=N&stnumreqd=N
27,fin,Submit a Hearing Request via the City's Website,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_automated_speedenforcementvideo1.html,True,0,,1,https://erequest.cityofchicago.org/EHearingWeb/home.do
28,fin,Boot Eligibility Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/boot_tow_information/boot_eligibilityinformation.html,False,0,,0,
29,fin,Booted & Towed Vehicle Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/boot_tow_information.html,False,0,,2,http://webapps1.cityofchicago.org/vehicleSearch/ | https://webapps1.cityofchicago.org/vehicleSearch/
30,fin,City of Chicago Vehicle Sticker Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/city_sticker_information.html,False,0,,0,
31,fin,"Consolidated Notice (Parking, Red Light and Speed Camera)",https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_red-lightnoticeinformation5/violation_status.html,False,0,,0,
32,fin,Consolidated Notices for Businesses,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/Payment Options/consolidated_noticesforbusinesses.html,False,0,,0,
33,fin,Supporting Info Rollup,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/supp_info.html,False,0,,0,
34,fin,"Payment Plan Options (Parking, Red Light Camera and Automated Speed Camera)",https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_red-lightticketpaymentplans.html,False,0,,8,https://parkingtickets.cityofchicago.org/PaymentPlanWeb/home | http://www.hhs.gov | http://www.usda.gov | http://www.iwcc.il.gov | https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp | https://erequest.cityofchicago.org/EHearingWeb/home.do | https://parkingtickets.cityofchicago.org/CPSWeb/emailnotification.do | https://parkingtickets.cityofchicago.org/CPSWeb/faq.do
35,fin,"Notice of Relocation Payment Center 2550 W. Addison to New Location 4445 N. Pulaski Rd. Effective December 4, 2017",https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision/news/2017/november/NoticeofRelocatoiin.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/PaymentProcessing/NOTICEOFRELOCATION.pdf,0,
36,fin,Payment Options & Center Locations,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/Payment Options.html,False,0,,0,
37,fin,Supporting Info,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info.html,False,0,,0,
38,fin,Revenue,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue.html,False,0,,0,
39,fin,"Increase to 911 Surcharge effective January 1, 2018",https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news/2017/december/Increaseto911SurchargeeffectiveJanuary12018.html,False,0,,0,
40,fin,New and Improved MPEA/GTT Emblem Registration Process,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news/2017/may/NewandImprovedMPEAGTTEmblemRegistrationProcess.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/GTTFAQs.pdf,0,
41,fin,Checkout Bag Tax - UPDATED,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news/2016/december/NewCheckoutBagTax.html,False,6,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/CheckoutBagTaxAffidavitforApportionment.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/CheckoutBagTaxSamplestorereceipts.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/GuidanceontheCheckoutBagTax.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/3-50ChicagoCheckoutBagTaxOrdinance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/CheckoutBagTaxFAQs.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/Checkout%20Bag%20Tax%20Placard.pdf,1,http://mailto:RevenueDatabase@cityofchicago.org?
42,fin,Effective 7/1/2017 - GTT will be collected daily from non-Chicago public vehicles at airports,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news/2017/march/GroundTransportationTax.html,False,0,,1,http://mailto:GTT@cityofchicago.org
43,fin,Shared Housing Surcharge Effective 7/1/16,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news/2016/june/SharedHousingSurcharge.html,False,7,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/HotelTaxRuling1.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/HotelTaxRuling2.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxSupportingInformation/April_2008_Info_Bulletin_Hotel_Tax.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxSupportingInformation/RevenueHotelMatrix.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/HotelTax-SharedHousingSubstituteOrdinance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/HotelTax-SharedHousingSubstituteOrdinance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/VacationRentalAndSharedHousingSurchargeNotice.pdf,0,
44,fin,News Releases,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/news.html,False,0,,0,
45,fin,Bulk Sales Notice,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/file_a_bulk_salesnotice.html,False,2,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/BulkSalesNotice.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/POA2012_Finance.pdf,2,http://mailto:bulksales@cityofchicago.org? | http://mailto:bulksales@cityofchicago.org?
46,fin,Financial Hardship,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/apply_for_financialhardship.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/HardshipApplication2012_Finance.pdf,0,
47,fin,MyDec - Real Property Transfer Tax,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/ez_dec.html,True,2,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxSupportingInformation/URPORULING5.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/URPORuling2.pdf,4,https://mytax.illinois.gov/mydec/_/ | http://mailto:taxpolicy@cityofchicago.org? | https://youtu.be/43DLpY6xYC0 | https://mytax.illinois.gov/MyDec/_/
48,fin,MyDec Help,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/ez_dec_helpful_points.html,False,0,,0,
49,fin,Tax Application and Affidavit Forms,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/tax_application_andaffidavitforms.html,False,18,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/StartDateAffidavit_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/Enddateaffidavit_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/Amusement_Tax_Exemption_Application_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/DJApplication_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/BulkSalesNotice.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/BusinessChangeForm_3.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/RefundApplication_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/RefundApplication_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/HardshipApplication2012_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/finalprotestoptionattachment_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/POA2012_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/PROTESTANDPETITIONFORHEARING_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/RETURNEDCIGARETTESTAMPAFFIDAVIT.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/CTAPortionofRPTTRefundApplication2014.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/NewAccountRegCorp_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/NewAccountInfoSheetSoleProprietor_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/TPIF_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/TPIF_Finance.pdf,0,
50,fin,Tax Audit Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/audit_information.html,False,3,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/AuditInformation/Audit_Process_Overview_Final_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/AuditInformation/ManagedAuditsInformation_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/AuditInformation/managed_audit_faqs_Finance.pdf,0,
51,fin,Tax Division FAQs,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/TaxDivisionFAQs.html,False,0,,3,http://library.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | https://webapps1.cityofchicago.org/TaxWeb/ | https://webapps1.cityofchicago.org/TaxWeb/
52,fin,Tax Information - EN ESPANOL,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/en_espanol.html,False,5,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/Avisodeventaagranel_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/DivulgandoFraudedeImpuesto_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/FormaParaReportarFraude_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/WEBTAX_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/SolicituddeReembolso_Finance.pdf,0,
53,fin,Supporting Info Rollup,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/supp_info.html,False,0,,0,
54,fin,Tax Collection and Enforcement - Publications & Reports,https://www.cityofchicago.org/content/city/en/depts/fin/auto_generated/tax_division_publandreports.html,False,0,,2,https://webapps1.cityofchicago.org/TaxWeb/ | https://webapps1.cityofchicago.org/VoluntaryDiscAppWeb/pageflows/taxVoluntary/TaxVoluntaryController.jpf
55,fin,Tax Fraud,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/reporting_chicagobusinesstaxfraud.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/ReportingChicagoBusinessTaxFraudForm.pdf,1,http://www.revenue.state.il.us/fraud/
56,fin,Real Property Transfer Tax Refund - Seniors,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/real_property_transfertaxrefundsforseniors.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/CTAPortionofRPTTRefundApplication2014.pdf,0,
57,fin,Tax Exemptions and Registration Certificates,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/apply_for_an_exemption.html,False,4,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/Amusement_Tax_Exemption_Application_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/DJApplication_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxRulingsandRegulations/Amusement_Ruling_4.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/SmallNewBusExemptionApplication.pdf,1,http://mailto:taxexemptions@cityofchicago.org?
58,fin,Tax Ordinances,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/find_chicago_businesstaxordinances.html,True,0,,1,http://www.amlegal.com/library/il/chicago.shtml
59,fin,Tax Refund,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/apply_for_a_chicagobusinesstaxrefund.html,False,2,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/RefundApplication_Finance.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxApplicationandAffidavitForms/RETURNEDCIGARETTESTAMPAFFIDAVIT.pdf,0,
60,fin,News Releases,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/news.html,False,0,,0,
61,fin,Relocated & Towed Vehicle Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/boot_tow_information/relocated_towed_vehicleinformation.html,False,0,,2,https://webapps1.cityofchicago.org/vehicleSearch/ | https://webapps1.cityofchicago.org/vehicleSearch/
62,fin,Booted Vehicle Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/boot_tow_information/booted_vehicle_information.html,False,0,,1,http://webapps1.cityofchicago.org/vehicleSearch/
63,fin,Driver's License Suspension ,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/general_parking_ticketinformation/driver_s_licensesuspension.html,False,0,,0,
64,fin,Parking and Red Light Notice Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_red-lightnoticeinformation5.html,False,0,,0,
65,fin,"Contesting Tickets (Parking, Red Light and Automated Speed Enforcement)",https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/challenging_tickets.html,False,0,,0,
66,fin,Frequently Asked Questions about Parking and other Compliance Ticket Issues,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/commonly_asked_questionsoncitystickersandviolations.html,False,0,,0,
67,fin,Going Green,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_red-lightnoticeinformation5/going_green.html,False,0,,0,
68,fin,Parking Information and Services - En Español,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_paymentplaninformation-enespanol.html,False,5,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/SpanishPayOnline.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/30094_45_SpanishTruck031009.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/PaymentPlanSpanishVersionPlanesdepago3-15-2016.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/motorcycleparking.pdf | https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/enEspanol/LAZParkingCardSpanish-1-.pdf,0,
69,fin,Parking Meter Information,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_meter_information.html,False,0,,0,
70,fin,Parking Restrictions for Special Types of Vehicles,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_your_commercialtruckinchicago.html,False,2,https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/Contractor_Application.pdf | https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Revenue/Contractor_Placard.pdf,4,http://www.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://www.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://www.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il | http://www.amlegal.com/nxt/gateway.dll/Illinois/chicago_il/municipalcodeofchicago?f=templates$fn=default.htm$3.0$vid=amlegal:chicago_il
71,fin,Parking Your Motorcycle or Scooter and Share the Road Sign,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/Parking Motorcycle.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/ShareRoadSign/ShareRoadBumperSticker.pdf,0,
72,fin,Payment Options,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_and_red-lightnoticeinformation5/other_payment_options.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/PaymentProcessing/EZ_Pay_Station_Locations.pdf,1,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp
73,fin,"Ticket Information (Parking, Red Light and Automated Speed Enforcement)",https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/general_parking_ticketinformation.html,False,0,,0,
74,fin,Tips for Avoiding Parking Tickets,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/tips_for_avoidingparkingtickets.html,False,0,,0,
75,fin,Various Parking Permits Information & Application,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/parking_forms.html,False,0,,0,
76,fin,Vehicle Information for New City Residents,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/new_resident_parkinginformation.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/NewResidentParking/NewResidentInformationForDrivers.pdf,4,http://www.chicityclerk.com/ | http://www.cyberdriveillinois.com/ | http://www.chicityclerk.com/ | http://www.chicityclerk.com/
77,fin,Payment Plan Definitions,https://www.cityofchicago.org/content/city/en/depts/fin/supp_info/revenue/PlanDefinitions.html,False,0,,3,http://www.hhs.gov | http://www.usda.gov | http://www.iwcc.il.gov
78,fin,News Releases,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision/news.html,False,0,,0,
