,dept,title,url,button,pdf_count,pdf_urls,ext_link_count,ext_links
11,,I Want To...,https://www.cityofchicago.org/city/en/svcs/iwantto.apply_for.html,False,0,,0,
12,streets,Check Status of Abandoned Vehicle Complaint,https://www.cityofchicago.org/content/city/en/depts/streets/provdrs/traffic/svcs/abndvhclstatus.html,True,0,,1,http://servicetracker.cityofchicago.org
13,bldgs,Building Permit Status,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/stand_plan/svcs/building_permit_status.html,True,0,,1,https://webapps1.cityofchicago.org/buildingpermit
14,bldgs,Building Violations,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/inspect/svcs/building_violationsonline.html,True,0,,1,https://webapps1.cityofchicago.org/buildingviolations/violations/agreement.html
15,bldgs,Building-Related Court Actions,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/inspect/svcs/building-relatedcourtactions.html,True,0,,1,https://webapps1.cityofchicago.org/BRCAWeb/org/cityofchicago/brca/controller/search/begin.do
16,bldgs,Easy Building Permit Applications,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/permit_proc/svcs/applications.html,False,19,https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/EZPERMIT/EasyPermitApplication.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/EZPERMIT/2011EZCorrections.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/Aldermanic_Ackn2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/CertificationPrimary2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/CertificationofResponsibilty2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/EZPERMIT/WreckingPermit2016rev.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/ElectricalPermitApp2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/ElevatorInstallation2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/Excavation_Cert2011rev.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/PlumbingFixtures2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/RefrigeratioPermit2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/Refrigeration_PermitPlans2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/RidingDevice2011.pdf | https://www.cityofchicago.org/dam/city/depts/bldgs/general/EZPERMIT/RidingDevice.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011%20New/Scaffoldpermit2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/SecondAppRequest2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/ElevatorRepairs2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/2011 New/AppVent2011.pdf | https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/SPR/120810Easy_Permit_Process_Flow_Chart.pdf,1,http://www.amlegal.com/library/il/chicago.shtml
17,mopd,HomeMod - Program,https://www.cityofchicago.org/content/city/en/depts/mopd/provdrs/hous/svcs/accessible_home_modificationprogram-ages0-5911.html,False,1,https://www.cityofchicago.org/content/dam/city/depts/mopd/hous/general/HomeMod%20Application.pdf,2,http://www.mealsonwheelschicago.org/ | https://www.google.com/maps/dir/121+N.+LaSalle+Street%2C+Chicago%2C+IL%2C+60602
18,fin,"Pay or Search for Parking, Red Light & Automated Speed Enforcement Tickets",https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/pay_parking_and_red-lightticketson-line.html,True,0,,1,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp
19,dcd,Signs: Business Identification (On-Premise) and Advertising (Off-Premise),https://www.cityofchicago.org/content/city/en/depts/dcd/provdrs/admin/svcs/business_identificationandadvertisingsigns.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/signsiteplan.pdf,2,https://ipiweb.cityofchicago.org/DynamicPortal/Forms/Secure/Login.aspx | http://www.amlegal.com/library/il/chicago.shtml
20,cdot,Service Request for Street Light Out,https://www.cityofchicago.org/content/city/en/depts/cdot/provdrs/traffic_signals_andstreetlights/svcs/bldgviolstatus.html,True,0,,1,http://servicetracker.cityofchicago.org
21,bldgs,Vacant Property,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/inspect/svcs/check_status_of_vacantproperty.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/Inspections/VacantReg_Fee_Struct.pdf,1,https://ipiweb.cityofchicago.org/VBR
22,,I Want To...,https://www.cityofchicago.org/city/en/svcs/iwantto.check_status_of.html,False,0,,0,
23,streets,Auto Pound Locations,https://www.cityofchicago.org/content/city/en/depts/streets/provdrs/traffic/svcs/auto_pound_locations.html,True,0,,10,http://maps.yahoo.com/ | http://maps.yahoo.com/ | http://maps.yahoo.com/ | http://maps.yahoo.com/ | http://maps.yahoo.com/ | http://maps.yahoo.com/ | https://portal.chicagopolice.org/portal/page/portal/ClearPath | http://maps.yahoo.com/ | http://maps.yahoo.com/ | https://webapps1.cityofchicago.org/vehicleSearch/
